"","0","1","2","3","4","5","6","7","8","9","10"
"2009-W01",0,0,2,0,1,0,0,0,0,0,0
"2009-W02",0,0,1,0,0,0,0,0,0,0,0
"2009-W03",0,0,0,0,0,0,0,0,0,0,0
"2009-W04",0,0,0,0,0,0,0,0,0,0,0
"2009-W05",0,0,0,1,0,0,0,0,0,0,0
"2009-W06",0,0,0,0,0,0,1,0,0,0,0
"2009-W07",0,0,0,0,1,0,0,0,0,0,0
"2009-W08",0,0,0,0,1,0,0,0,0,0,0
"2009-W09",0,0,0,0,0,0,0,0,0,0,0
"2009-W10",0,0,1,0,0,0,0,0,0,0,0
"2009-W11",0,0,1,0,0,0,0,0,0,0,0
"2009-W12",0,0,0,0,0,0,0,0,0,0,0
"2009-W13",0,0,1,0,1,0,0,0,0,0,0
"2009-W14",0,0,0,0,0,0,0,0,0,0,0
"2009-W15",0,0,1,2,0,0,0,0,0,0,0
"2009-W16",0,2,2,0,0,0,0,0,0,0,0
"2009-W17",0,0,0,0,0,0,0,0,0,0,0
"2009-W18",0,2,1,2,0,0,0,0,0,0,0
"2009-W19",0,0,1,1,0,0,0,0,0,0,0
"2009-W20",0,1,0,0,0,0,0,0,0,0,0
"2009-W21",0,1,0,0,1,0,0,0,0,0,0
"2009-W22",0,0,0,0,0,0,0,0,0,0,0
"2009-W23",0,1,1,0,0,0,0,0,0,0,0
"2009-W24",0,0,1,0,0,0,0,0,0,0,0
"2009-W25",0,0,0,0,0,0,0,0,0,0,0
"2009-W26",0,1,0,0,0,0,0,0,0,0,0
"2009-W27",0,1,0,0,0,0,0,0,0,0,0
"2009-W28",0,1,1,0,0,0,0,0,0,0,0
"2009-W29",0,1,0,2,0,0,0,0,0,0,0
"2009-W30",0,0,0,2,0,0,0,0,0,0,0
"2009-W31",0,0,2,1,0,1,0,0,0,0,0
"2009-W32",0,0,1,1,0,0,0,0,0,0,0
"2009-W33",0,0,1,1,0,1,0,0,0,0,0
"2009-W34",0,2,1,0,0,0,0,0,0,0,0
"2009-W35",0,1,1,0,0,0,0,0,0,0,0
"2009-W36",0,1,1,0,0,0,1,0,0,0,1
"2009-W37",0,0,0,1,0,0,0,0,0,0,0
"2009-W38",0,0,2,0,0,0,0,0,0,0,0
"2009-W39",0,0,1,0,1,0,0,0,0,0,0
"2009-W40",0,0,3,1,1,0,0,0,0,0,0
"2009-W41",0,1,2,0,1,0,0,0,0,0,0
"2009-W42",0,0,0,1,0,0,0,0,0,0,0
"2009-W43",0,1,1,0,2,0,0,0,0,0,0
"2009-W44",0,1,0,0,0,0,0,0,0,0,0
"2009-W45",0,1,0,0,0,0,0,0,0,0,0
"2009-W46",0,0,1,0,0,0,0,0,0,0,0
"2009-W47",0,0,1,0,0,0,0,0,0,0,0
"2009-W48",0,0,0,0,0,0,0,0,0,0,0
"2009-W49",0,0,0,0,0,0,0,0,0,0,0
"2009-W50",0,0,0,0,0,0,0,0,0,0,0
"2009-W51",0,0,0,0,0,0,0,0,0,0,0
"2009-W52",0,0,0,0,0,0,0,0,0,0,0
"2009-W53",0,0,2,0,0,0,1,0,0,0,0
"2010-W01",0,0,0,0,0,0,0,0,0,0,0
"2010-W02",0,0,1,0,0,0,0,0,0,0,0
"2010-W03",0,0,1,0,2,0,0,0,0,0,0
"2010-W04",0,0,1,0,0,0,0,0,0,0,0
"2010-W05",0,0,0,0,0,0,0,0,0,0,0
"2010-W06",0,0,1,0,0,0,0,0,0,0,0
"2010-W07",0,2,0,0,0,0,0,0,0,0,0
"2010-W08",0,0,0,0,0,0,0,0,0,0,0
"2010-W09",0,1,0,0,0,0,0,0,0,0,0
"2010-W10",0,0,0,0,0,0,0,0,0,0,0
"2010-W11",0,0,1,1,0,0,0,0,0,0,0
"2010-W12",0,1,0,0,0,0,0,0,0,0,0
"2010-W13",0,0,0,0,0,0,0,0,0,0,0
"2010-W14",0,1,0,0,0,0,0,0,0,0,0
"2010-W15",0,0,1,0,0,0,0,0,0,0,0
"2010-W16",0,0,0,0,0,0,0,0,0,0,0
"2010-W17",0,0,0,1,0,0,0,0,0,0,1
"2010-W18",0,0,0,0,0,0,0,0,0,0,0
"2010-W19",0,0,0,0,0,0,0,0,0,0,0
"2010-W20",0,0,0,0,0,0,0,0,0,0,0
"2010-W21",0,0,0,0,0,0,1,0,0,0,0
"2010-W22",1,0,1,1,0,0,0,0,0,0,0
"2010-W23",0,0,2,0,0,0,0,0,0,0,0
"2010-W24",0,0,1,0,0,0,0,0,0,0,0
"2010-W25",0,1,3,0,0,0,0,0,0,0,0
"2010-W26",0,1,0,0,0,0,0,0,0,0,0
"2010-W27",0,0,0,0,0,0,0,0,0,0,0
"2010-W28",0,0,0,0,0,0,0,0,0,0,0
"2010-W29",0,0,0,0,0,0,0,0,0,0,0
"2010-W30",1,2,0,1,0,0,0,0,0,0,0
"2010-W31",0,0,0,0,0,0,0,0,0,0,0
"2010-W32",0,2,2,0,1,0,0,0,0,0,0
"2010-W33",0,0,1,0,0,0,0,0,1,0,0
"2010-W34",0,0,0,0,0,0,0,0,0,0,0
"2010-W35",0,0,1,0,0,0,0,0,0,0,0
"2010-W36",0,1,0,0,1,0,0,0,0,0,0
"2010-W37",0,0,0,0,1,0,0,0,0,0,0
"2010-W38",0,1,0,1,0,0,0,0,0,0,1
"2010-W39",0,1,1,1,0,1,0,0,0,0,0
"2010-W40",0,1,1,0,0,0,0,0,0,0,0
"2010-W41",0,1,0,0,0,0,0,0,0,0,0
"2010-W42",0,0,1,0,1,0,0,0,0,0,0
"2010-W43",0,1,1,0,0,0,0,0,0,0,0
"2010-W44",0,0,0,1,1,0,0,0,0,0,0
"2010-W45",0,0,0,0,0,0,0,0,0,0,0
"2010-W46",0,2,0,0,0,0,0,0,0,0,0
"2010-W47",0,0,0,2,0,0,0,0,0,0,0
"2010-W48",0,0,0,0,0,0,0,0,0,0,0
"2010-W49",0,0,0,1,1,0,0,0,0,0,0
"2010-W50",0,0,0,0,1,0,0,0,0,0,0
"2010-W51",0,0,0,0,0,0,0,0,0,0,0
"2010-W52",0,0,1,0,0,0,0,0,0,0,0
"2011-W01",0,1,0,1,0,1,0,0,0,0,0
"2011-W02",0,1,0,0,0,0,0,0,0,0,0
"2011-W03",0,0,1,0,0,0,0,0,0,0,0
"2011-W04",1,0,0,0,0,0,0,0,0,0,0
"2011-W05",0,0,0,0,0,0,0,0,0,0,0
"2011-W06",0,0,0,0,0,0,0,0,0,0,0
"2011-W07",0,0,0,0,0,0,0,0,0,0,0
"2011-W08",0,0,1,0,0,0,0,0,0,0,0
"2011-W09",0,0,1,0,0,0,0,0,0,0,0
"2011-W10",1,0,1,1,0,0,0,0,0,0,0
"2011-W11",0,0,0,0,0,0,0,0,0,0,0
"2011-W12",0,0,0,2,0,0,0,0,0,0,0
